,,,,,
,,,,,
,,,,,
,,3ºLugar-Grupo A -Liga Prata,4ºLugar-Grupo B Liga Prata,15H00-15H30             Jogo 1,Jogo 1
,,,,,
,,3ºLugar-Grupo B - Liga Prata,4ºLugar-Grupo A - Liga Prata,15H00-15H30             Jogo 2,Jogo 2
,,,,,
,,1ºLugar-Grupo A - Liga Ouro,2ºLugar-Grupo B - Liga Ouro,15H40-16H10             Jogo 1,Jogo 1
,,,,,
,,1ºLugar-Grupo B - Liga Ouro,2ºLugar-Grupo A - Liga Ouro,15H40-16H10             Jogo 2,Jogo 2
,,,,,
,,Vencidos Liga Ouro Jogo1,Vencidos Liga Ouro Jogo 2,16H20-16H50,
,,,,,
,,Vencidos Liga Prata Jogo1,Vencidos Liga Prata Jogo 2,16H20-16H50,
,,,,,
,,Vencendor Liga Ouro Jogo 1,Vencendor Liga Ouro Jogo 2,17H00-17H30,
,,,,,
,,Vencendor Liga Prata Jogo 1,Vencendor Liga Prata Jogo 1,17H00-17H30,
,,,,,
